   period_start       period_end      time_high_tide   elevation_above_datum  tide_type  duration 
--------------------------------------------------------------------------------------------------
 2018-05-23 03:12  2018-05-23 10:24  2018-05-23 06:42          0.735              HH       7.2    
 2018-05-23 16:00  2018-05-23 23:00  2018-05-23 19:12          0.748              HH       7.0    
 2018-05-24 04:24  2018-05-24 11:24  2018-05-24 07:48          0.727              H        7.0    
 2018-05-24 16:42  2018-05-25 00:42  2018-05-24 20:30          0.928              HH       8.0    
 2018-05-25 04:54  2018-05-25 12:30  2018-05-25 08:42          0.813              H        7.6    
 2018-05-25 17:36  2018-05-26 01:24  2018-05-25 21:24          0.994              HH       7.8    
 2018-05-26 06:00  2018-05-26 13:12  2018-05-26 09:42          0.812              H        7.2    
 2018-05-26 18:24  2018-05-27 02:00  2018-05-26 22:18          1.019              HH       7.6    
 2018-05-27 07:12  2018-05-27 13:48  2018-05-27 10:48          0.709              H        6.6    
 2018-05-27 19:18  2018-05-28 02:36  2018-05-27 23:00          0.967              HH       7.3    
 2018-05-28 08:06  2018-05-28 14:48  2018-05-28 11:30          0.778              H        6.7    
 2018-05-28 19:54  2018-05-29 03:24  2018-05-28 23:42          0.984              HH       7.5    
 2018-05-29 08:42  2018-05-29 15:24  2018-05-29 11:48          0.727              H        6.7    
 2018-05-29 20:36  2018-05-30 04:06  2018-05-30 00:24          0.993              HH       7.5    
 2018-05-30 09:18  2018-05-30 15:48  2018-05-30 12:42          0.645              H        6.5    
 2018-05-30 21:00  2018-05-31 05:00  2018-05-31 01:06          0.994              HH       8.0    
 2018-05-31 09:48  2018-05-31 16:54  2018-05-31 13:18          0.696              H        7.1    
 2018-05-31 21:18  2018-06-01 06:00  2018-06-01 01:42          1.016              HH       8.7    
 2018-06-01 10:18  2018-06-01 17:48  2018-06-01 14:12          0.707              H        7.5    
 2018-06-01 21:42  2018-06-02 06:42  2018-06-02 02:18          1.028              HH       9.0    
 2018-06-02 10:30  2018-06-02 18:48  2018-06-02 14:54          0.712              H        8.3    
 2018-06-02 22:18  2018-06-03 07:48  2018-06-03 02:36          0.869              HH       9.5    
 2018-06-03 11:54  2018-06-03 19:42  2018-06-03 14:24          0.672              H        7.8    
 2018-06-03 23:30  2018-06-04 07:42  2018-06-04 03:48          0.798              HH       8.2    
 2018-06-04 12:24  2018-06-04 20:42  2018-06-04 16:30          0.624              H        8.3    
 2018-06-04 23:12  2018-06-05 09:00  2018-06-05 04:36          0.896              HH       9.8    
 2018-06-05 12:36  2018-06-05 21:48  2018-06-05 17:06          0.685              H        9.2    
 2018-06-06 00:48  2018-06-06 10:00  2018-06-06 05:12          0.792              HH       9.2    
 2018-06-06 13:30  2018-06-06 22:42  2018-06-06 17:36           0.73              H        9.2    
 2018-06-07 01:48  2018-06-07 10:06  2018-06-07 05:54          0.722              HH       8.3    
 2018-06-07 14:30  2018-06-07 23:30  2018-06-07 18:54          0.719              H        9.0    
 2018-06-08 02:36  2018-06-08 11:06  2018-06-08 06:54          0.747              H        8.5    
 2018-06-08 15:48  2018-06-09 00:06  2018-06-08 19:30           0.8               HH       8.3    
 2018-06-09 04:00  2018-06-09 11:36  2018-06-09 07:54          0.719              H        7.6    
